title;year;type;link
PL 2922/2020;2020;PL;https://www.congressonacional.leg.br/materias/materias-bicamerais/-/ver/pl-2922-2020
PL 2922/2020 (SF);2020;PL;https://www25.senado.leg.br/web/atividade/materias/-/materia/142129
PLS 246/2018;2018;PLS;https://www.congressonacional.leg.br/materias/materias-bicamerais/-/ver/pls-246-2018
PLS 246/2018 (SF);2018;PLS;https://www25.senado.leg.br/web/atividade/materias/-/materia/133353
PL 3683/2020;2020;PL;https://www.congressonacional.leg.br/materias/materias-bicamerais/-/ver/pl-3683-2020
PL 3683/2020 (SF);2020;PL;https://www25.senado.leg.br/web/atividade/materias/-/materia/143264
PL 632/2020;2020;PL;https://www.congressonacional.leg.br/materias/materias-bicamerais/-/ver/pl-632-2020
PL 632/2020 (SF);2020;PL;https://www25.senado.leg.br/web/atividade/materias/-/materia/141090
PL 4975/2019;2019;PL;https://www.congressonacional.leg.br/materias/materias-bicamerais/-/ver/pl-4975-2019
PL 4975/2019 (SF);2019;PL;https://www25.senado.leg.br/web/atividade/materias/-/materia/138675
PL 2630/2020;2020;PL;https://www.congressonacional.leg.br/materias/materias-bicamerais/-/ver/pl-2630-2020
PL 2630/2020 (SF);2020;PL;https://www25.senado.leg.br/web/atividade/materias/-/materia/141944
SUG 62/2017;2017;SUG;https://www25.senado.leg.br/web/atividade/materias/-/materia/131930
MPV 1068/2021;2021;MPV;https://www25.senado.leg.br/web/atividade/materias/-/materia/149726
